"row_id","bot","score_type","score"
1,"Bot1","engagement",3
2,"Bot1","emotional",3
4,"Bot2","engagement",3
5,"Bot2","emotional",3
7,"Bot3","engagement",3
8,"Bot3","emotional",3
10,"Bot1","engagement",4.5
11,"Bot1","emotional",3.83333333333333
13,"Bot2","engagement",2.83333333333333
14,"Bot2","emotional",2.16666666666667
16,"Bot3","engagement",2.66666666666667
17,"Bot3","emotional",2.33333333333333
18,"Bot1","engagement",3.33333333333333
19,"Bot1","emotional",3.66666666666667
22,"Bot2","engagement",1.66666666666667
23,"Bot2","emotional",1.83333333333333
25,"Bot3","engagement",2.83333333333333
26,"Bot3","emotional",3
28,"Bot1","engagement",4.16666666666667
29,"Bot1","emotional",3.33333333333333
31,"Bot2","engagement",2.83333333333333
32,"Bot2","emotional",3
33,"Bot1","engagement",3.66666666666667
35,"Bot1","emotional",3
37,"Bot3","engagement",4.33333333333333
38,"Bot3","emotional",3.5
40,"Bot2","engagement",3
41,"Bot2","emotional",2.83333333333333
43,"Bot3","engagement",2.83333333333333
44,"Bot3","emotional",2.66666666666667
46,"Bot1","engagement",3.5
47,"Bot1","emotional",3.16666666666667
49,"Bot2","engagement",2.5
50,"Bot2","emotional",2.66666666666667
52,"Bot3","engagement",2
53,"Bot3","emotional",2.16666666666667
55,"Bot1","engagement",5
56,"Bot1","emotional",5
57,"Bot1","engagement",4.33333333333333
59,"Bot1","emotional",3.83333333333333
60,"Bot1","engagement",5
61,"Bot1","engagement",4.83333333333333
62,"Bot1","engagement",4.16666666666667
63,"Bot1","emotional",4
64,"Bot1","engagement",4.33333333333333
65,"Bot1","emotional",4.16666666666667
66,"Bot1","emotional",3.16666666666667
68,"Bot1","emotional",5
71,"Bot1","engagement",3.5
74,"Bot1","emotional",2.5
75,"Bot1","engagement",5
76,"Bot1","engagement",4.16666666666667
77,"Bot1","emotional",4.66666666666667
78,"Bot1","engagement",5
79,"Bot1","emotional",3.5
80,"Bot1","emotional",4.66666666666667
83,"Bot1","engagement",4.5
84,"Bot2","engagement",3
86,"Bot2","emotional",2.83333333333333
87,"Bot1","emotional",4.5
91,"Bot2","engagement",2.83333333333333
92,"Bot1","engagement",4.66666666666667
93,"Bot1","engagement",4
94,"Bot2","emotional",3
95,"Bot1","emotional",4.66666666666667
96,"Bot2","engagement",5
97,"Bot2","engagement",3.66666666666667
98,"Bot2","engagement",2.83333333333333
99,"Bot2","emotional",3.83333333333333
101,"Bot1","emotional",2.5
102,"Bot2","emotional",2.33333333333333
104,"Bot2","emotional",2.33333333333333
105,"Bot2","engagement",5
106,"Bot2","emotional",5
110,"Bot2","engagement",3.33333333333333
112,"Bot2","engagement",2.83333333333333
113,"Bot2","engagement",4.5
114,"Bot2","emotional",2
115,"Bot2","emotional",2.33333333333333
116,"Bot2","emotional",4.33333333333333
119,"Bot3","engagement",4.83333333333333
120,"Bot3","emotional",4.33333333333333
123,"Bot2","engagement",5
124,"Bot2","emotional",5
125,"Bot1","engagement",4.66666666666667
126,"Bot2","engagement",3.33333333333333
127,"Bot2","engagement",3
129,"Bot1","emotional",4
130,"Bot2","emotional",3.16666666666667
131,"Bot3","engagement",3.16666666666667
132,"Bot3","emotional",3.83333333333333
133,"Bot2","emotional",2
138,"Bot3","engagement",4.16666666666667
139,"Bot3","emotional",3
140,"Bot3","engagement",4.83333333333333
141,"Bot3","engagement",5
142,"Bot3","emotional",4.66666666666667
143,"Bot3","emotional",5
147,"Bot3","engagement",3.16666666666667
148,"Bot3","emotional",2.5
149,"Bot3","engagement",3.16666666666667
151,"Bot3","emotional",2.66666666666667
152,"Bot1","engagement",4.66666666666667
154,"Bot3","engagement",5
155,"Bot2","engagement",5
157,"Bot3","emotional",4
158,"Bot2","engagement",3
160,"Bot1","emotional",4.33333333333333
161,"Bot2","emotional",2.66666666666667
164,"Bot3","engagement",1.33333333333333
165,"Bot3","emotional",1.16666666666667
166,"Bot3","engagement",4.66666666666667
167,"Bot3","engagement",3
168,"Bot3","emotional",5
169,"Bot3","emotional",1.66666666666667
171,"Bot3","engagement",5
173,"Bot3","emotional",5
174,"Bot2","emotional",3.83333333333333
178,"Bot3","engagement",4.66666666666667
179,"Bot3","emotional",4.5
181,"Bot2","engagement",2.16666666666667
182,"Bot2","emotional",1.66666666666667
183,"Bot3","engagement",3.66666666666667
185,"Bot3","emotional",3.83333333333333
186,"Bot3","engagement",4.16666666666667
