"participantId","bot","questionId","score","score_type"
"P1_1_1","Bot1","q1",5,"engagement"
"P1_1_2","Bot1","q1",5,"engagement"
"P1_1_3","Bot1","q1",2,"engagement"
"P1_1_4","Bot1","q1",4,"engagement"
"P1_1_5","Bot1","q1",4,"engagement"
"P1_1_6","Bot1","q1",4,"engagement"
"P1_1_7","Bot1","q1",5,"engagement"
"P1_1_8","Bot1","q1",5,"engagement"
"P1_1_9","Bot1","q1",3,"engagement"
"P1_1_10","Bot1","q1",5,"engagement"
"P1_1_11","Bot1","q1",5,"engagement"
"P1_1_12","Bot1","q1",5,"engagement"
"P1_1_13","Bot1","q1",3,"engagement"
"P1_1_14","Bot1","q1",5,"engagement"
"P1_1_15","Bot1","q1",3,"engagement"
"P1_1_16","Bot1","q1",3,"engagement"
"P1_1_17","Bot1","q1",1,"engagement"
"P1_1_18","Bot1","q1",5,"engagement"
"P1_1_19","Bot1","q1",5,"engagement"
"P1_1_20","Bot1","q1",4,"engagement"
"P1_1_21","Bot1","q1",3,"engagement"
"P1_1_22","Bot1","q1",2,"engagement"
"P1_1_23","Bot1","q1",5,"engagement"
"P1_1_24","Bot1","q1",4,"engagement"
"P1_1_25","Bot1","q1",2,"engagement"
"P1_1_26","Bot1","q1",5,"engagement"
"P1_1_27","Bot1","q1",2,"engagement"
"P1_1_28","Bot1","q1",5,"engagement"
"P1_1_29","Bot1","q1",5,"engagement"
"P1_1_30","Bot1","q1",5,"engagement"
"P1_1_31","Bot1","q1",2,"engagement"
"P1_1_32","Bot1","q1",5,"engagement"
"P1_1_33","Bot1","q1",4,"engagement"
"P1_1_34","Bot1","q1",4,"engagement"
"P1_1_35","Bot1","q1",5,"engagement"
"P1_1_36","Bot1","q1",4,"engagement"
"P1_1_37","Bot1","q1",5,"engagement"
"P1_1_38","Bot1","q1",3,"engagement"
"P1_1_39","Bot1","q1",5,"engagement"
"P1_1_40","Bot1","q1",4,"engagement"
"P1_1_41","Bot1","q1",4,"engagement"
"P1_1_42","Bot1","q1",3,"engagement"
"P1_1_43","Bot1","q1",3,"engagement"
"P1_1_44","Bot1","q1",4,"engagement"
"P1_1_45","Bot1","q1",2,"engagement"
"P1_1_46","Bot1","q1",5,"engagement"
"P1_1_47","Bot1","q1",5,"engagement"
"P1_1_48","Bot1","q1",4,"engagement"
"P1_2_1","Bot1","q2",3,"engagement"
"P1_2_2","Bot1","q2",5,"engagement"
"P1_2_3","Bot1","q2",4,"engagement"
"P1_2_4","Bot1","q2",3,"engagement"
"P1_2_5","Bot1","q2",3,"engagement"
"P1_2_6","Bot1","q2",5,"engagement"
"P1_2_7","Bot1","q2",5,"engagement"
"P1_2_8","Bot1","q2",3,"engagement"
"P1_2_9","Bot1","q2",5,"engagement"
"P1_2_10","Bot1","q2",5,"engagement"
"P1_2_11","Bot1","q2",4,"engagement"
"P1_2_12","Bot1","q2",5,"engagement"
"P1_2_13","Bot1","q2",4,"engagement"
"P1_2_14","Bot1","q2",4,"engagement"
"P1_2_15","Bot1","q2",5,"engagement"
"P1_2_16","Bot1","q2",4,"engagement"
"P1_2_17","Bot1","q2",4,"engagement"
"P1_2_18","Bot1","q2",3,"engagement"
"P1_2_19","Bot1","q2",3,"engagement"
"P1_2_20","Bot1","q2",4,"engagement"
"P1_2_21","Bot1","q2",5,"engagement"
"P1_2_22","Bot1","q2",5,"engagement"
"P1_2_23","Bot1","q2",5,"engagement"
"P1_2_24","Bot1","q2",5,"engagement"
"P1_2_25","Bot1","q2",4,"engagement"
"P1_2_26","Bot1","q2",4,"engagement"
"P1_2_27","Bot1","q2",4,"engagement"
"P1_2_28","Bot1","q2",4,"engagement"
"P1_2_29","Bot1","q2",5,"engagement"
"P1_2_30","Bot1","q2",5,"engagement"
"P1_2_31","Bot1","q2",5,"engagement"
"P1_2_32","Bot1","q2",4,"engagement"
"P1_2_33","Bot1","q2",5,"engagement"
"P1_2_34","Bot1","q2",3,"engagement"
"P1_2_35","Bot1","q2",5,"engagement"
"P1_2_36","Bot1","q2",5,"engagement"
"P1_2_37","Bot1","q2",3,"engagement"
"P1_2_38","Bot1","q2",3,"engagement"
"P1_2_39","Bot1","q2",4,"engagement"
"P1_2_40","Bot1","q2",5,"engagement"
"P1_2_41","Bot1","q2",4,"engagement"
"P1_2_42","Bot1","q2",2,"engagement"
"P1_2_43","Bot1","q2",5,"engagement"
"P1_2_44","Bot1","q2",5,"engagement"
"P1_2_45","Bot1","q2",4,"engagement"
"P1_2_46","Bot1","q2",5,"engagement"
"P1_2_47","Bot1","q2",5,"engagement"
"P1_2_48","Bot1","q2",5,"engagement"
"P1_3_1","Bot1","q3",5,"engagement"
"P1_3_2","Bot1","q3",5,"engagement"
"P1_3_3","Bot1","q3",5,"engagement"
"P1_3_4","Bot1","q3",5,"engagement"
"P1_3_5","Bot1","q3",5,"engagement"
"P1_3_6","Bot1","q3",5,"engagement"
"P1_3_7","Bot1","q3",5,"engagement"
"P1_3_8","Bot1","q3",5,"engagement"
"P1_3_9","Bot1","q3",5,"engagement"
"P1_3_10","Bot1","q3",5,"engagement"
"P1_3_11","Bot1","q3",3,"engagement"
"P1_3_12","Bot1","q3",4,"engagement"
"P1_3_13","Bot1","q3",5,"engagement"
"P1_3_14","Bot1","q3",5,"engagement"
"P1_3_15","Bot1","q3",4,"engagement"
"P1_3_16","Bot1","q3",5,"engagement"
"P1_3_17","Bot1","q3",4,"engagement"
"P1_3_18","Bot1","q3",5,"engagement"
"P1_3_19","Bot1","q3",4,"engagement"
"P1_3_20","Bot1","q3",5,"engagement"
"P1_3_21","Bot1","q3",5,"engagement"
"P1_3_22","Bot1","q3",3,"engagement"
"P1_3_23","Bot1","q3",4,"engagement"
"P1_3_24","Bot1","q3",5,"engagement"
"P1_3_25","Bot1","q3",4,"engagement"
"P1_3_26","Bot1","q3",5,"engagement"
"P1_3_27","Bot1","q3",4,"engagement"
"P1_3_28","Bot1","q3",4,"engagement"
"P1_3_29","Bot1","q3",4,"engagement"
"P1_3_30","Bot1","q3",5,"engagement"
"P1_3_31","Bot1","q3",5,"engagement"
"P1_3_32","Bot1","q3",5,"engagement"
"P1_3_33","Bot1","q3",4,"engagement"
"P1_3_34","Bot1","q3",5,"engagement"
"P1_3_35","Bot1","q3",5,"engagement"
"P1_3_36","Bot1","q3",5,"engagement"
"P1_3_37","Bot1","q3",5,"engagement"
"P1_3_38","Bot1","q3",4,"engagement"
"P1_3_39","Bot1","q3",5,"engagement"
"P1_3_40","Bot1","q3",5,"engagement"
"P1_3_41","Bot1","q3",4,"engagement"
"P1_3_42","Bot1","q3",4,"engagement"
"P1_3_43","Bot1","q3",5,"engagement"
"P1_3_44","Bot1","q3",4,"engagement"
"P1_3_45","Bot1","q3",4,"engagement"
"P1_3_46","Bot1","q3",5,"engagement"
"P1_3_47","Bot1","q3",4,"engagement"
"P1_3_48","Bot1","q3",5,"engagement"
"P1_4_1","Bot1","q4",3,"engagement"
"P1_4_2","Bot1","q4",3,"engagement"
"P1_4_3","Bot1","q4",4,"engagement"
"P1_4_4","Bot1","q4",1,"engagement"
"P1_4_5","Bot1","q4",5,"engagement"
"P1_4_6","Bot1","q4",4,"engagement"
"P1_4_7","Bot1","q4",4,"engagement"
"P1_4_8","Bot1","q4",3,"engagement"
"P1_4_9","Bot1","q4",5,"engagement"
"P1_4_10","Bot1","q4",5,"engagement"
"P1_4_11","Bot1","q4",3,"engagement"
"P1_4_12","Bot1","q4",2,"engagement"
"P1_4_13","Bot1","q4",3,"engagement"
"P1_4_14","Bot1","q4",4,"engagement"
"P1_4_15","Bot1","q4",3,"engagement"
"P1_4_16","Bot1","q4",4,"engagement"
"P1_4_17","Bot1","q4",5,"engagement"
"P1_4_18","Bot1","q4",5,"engagement"
"P1_4_19","Bot1","q4",5,"engagement"
"P1_4_20","Bot1","q4",3,"engagement"
"P1_4_21","Bot1","q4",3,"engagement"
"P1_4_22","Bot1","q4",4,"engagement"
"P1_4_23","Bot1","q4",3,"engagement"
"P1_4_24","Bot1","q4",4,"engagement"
"P1_4_25","Bot1","q4",2,"engagement"
"P1_4_26","Bot1","q4",3,"engagement"
"P1_4_27","Bot1","q4",2,"engagement"
"P1_4_28","Bot1","q4",3,"engagement"
"P1_4_29","Bot1","q4",4,"engagement"
"P1_4_30","Bot1","q4",2,"engagement"
"P1_4_31","Bot1","q4",5,"engagement"
"P1_4_32","Bot1","q4",4,"engagement"
"P1_4_33","Bot1","q4",3,"engagement"
"P1_4_34","Bot1","q4",3,"engagement"
"P1_4_35","Bot1","q4",4,"engagement"
"P1_4_36","Bot1","q4",3,"engagement"
"P1_4_37","Bot1","q4",5,"engagement"
"P1_4_38","Bot1","q4",5,"engagement"
"P1_4_39","Bot1","q4",3,"engagement"
"P1_4_40","Bot1","q4",1,"engagement"
"P1_4_41","Bot1","q4",2,"engagement"
"P1_4_42","Bot1","q4",3,"engagement"
"P1_4_43","Bot1","q4",4,"engagement"
"P1_4_44","Bot1","q4",4,"engagement"
"P1_4_45","Bot1","q4",2,"engagement"
"P1_4_46","Bot1","q4",5,"engagement"
"P1_4_47","Bot1","q4",2,"engagement"
"P1_4_48","Bot1","q4",5,"engagement"
"P1_5_1","Bot1","q5",4,"engagement"
"P1_5_2","Bot1","q5",4,"engagement"
"P1_5_3","Bot1","q5",3,"engagement"
