"row_id","bot","question","rating","question_type"
1,"Bot1","q1",3,"Engagement"
1,"Bot1","q2",3,"Engagement"
1,"Bot1","q3",3,"Engagement"
1,"Bot1","q4",3,"Engagement"
1,"Bot1","q5",3,"Engagement"
1,"Bot1","q6",3,"Engagement"
2,"Bot1","q7",3,"Emotional"
2,"Bot1","q8",3,"Emotional"
2,"Bot1","q9",3,"Emotional"
2,"Bot1","q10",3,"Emotional"
2,"Bot1","q11",3,"Emotional"
2,"Bot1","q12",3,"Emotional"
4,"Bot2","q1",3,"Engagement"
4,"Bot2","q2",3,"Engagement"
4,"Bot2","q3",3,"Engagement"
4,"Bot2","q4",3,"Engagement"
4,"Bot2","q5",3,"Engagement"
4,"Bot2","q6",3,"Engagement"
5,"Bot2","q7",3,"Emotional"
5,"Bot2","q8",3,"Emotional"
5,"Bot2","q9",3,"Emotional"
5,"Bot2","q10",3,"Emotional"
5,"Bot2","q11",3,"Emotional"
5,"Bot2","q12",3,"Emotional"
7,"Bot3","q1",3,"Engagement"
7,"Bot3","q2",3,"Engagement"
7,"Bot3","q3",3,"Engagement"
7,"Bot3","q4",3,"Engagement"
7,"Bot3","q5",3,"Engagement"
7,"Bot3","q6",3,"Engagement"
8,"Bot3","q7",3,"Emotional"
8,"Bot3","q8",3,"Emotional"
8,"Bot3","q9",3,"Emotional"
8,"Bot3","q10",3,"Emotional"
8,"Bot3","q11",3,"Emotional"
8,"Bot3","q12",3,"Emotional"
10,"Bot1","q1",5,"Engagement"
10,"Bot1","q2",5,"Engagement"
10,"Bot1","q3",5,"Engagement"
10,"Bot1","q4",4,"Engagement"
10,"Bot1","q5",4,"Engagement"
10,"Bot1","q6",4,"Engagement"
11,"Bot1","q7",4,"Emotional"
11,"Bot1","q8",4,"Emotional"
11,"Bot1","q9",4,"Emotional"
11,"Bot1","q10",3,"Emotional"
11,"Bot1","q11",4,"Emotional"
11,"Bot1","q12",4,"Emotional"
13,"Bot2","q1",4,"Engagement"
13,"Bot2","q2",3,"Engagement"
13,"Bot2","q3",4,"Engagement"
13,"Bot2","q4",2,"Engagement"
13,"Bot2","q5",2,"Engagement"
13,"Bot2","q6",2,"Engagement"
14,"Bot2","q7",3,"Emotional"
14,"Bot2","q8",2,"Emotional"
14,"Bot2","q9",2,"Emotional"
14,"Bot2","q10",2,"Emotional"
14,"Bot2","q11",2,"Emotional"
14,"Bot2","q12",2,"Emotional"
16,"Bot3","q1",3,"Engagement"
16,"Bot3","q2",3,"Engagement"
16,"Bot3","q3",3,"Engagement"
16,"Bot3","q4",2,"Engagement"
16,"Bot3","q5",3,"Engagement"
16,"Bot3","q6",2,"Engagement"
17,"Bot3","q7",3,"Emotional"
17,"Bot3","q8",2,"Emotional"
17,"Bot3","q9",3,"Emotional"
17,"Bot3","q10",2,"Emotional"
17,"Bot3","q11",2,"Emotional"
17,"Bot3","q12",2,"Emotional"
18,"Bot1","q1",4,"Engagement"
18,"Bot1","q2",4,"Engagement"
18,"Bot1","q3",4,"Engagement"
18,"Bot1","q4",3,"Engagement"
18,"Bot1","q5",3,"Engagement"
18,"Bot1","q6",2,"Engagement"
19,"Bot1","q7",3,"Emotional"
19,"Bot1","q8",4,"Emotional"
19,"Bot1","q9",4,"Emotional"
19,"Bot1","q10",3,"Emotional"
19,"Bot1","q11",4,"Emotional"
19,"Bot1","q12",4,"Emotional"
22,"Bot2","q1",2,"Engagement"
22,"Bot2","q2",2,"Engagement"
22,"Bot2","q3",2,"Engagement"
22,"Bot2","q4",1,"Engagement"
22,"Bot2","q5",2,"Engagement"
22,"Bot2","q6",1,"Engagement"
23,"Bot2","q7",1,"Emotional"
23,"Bot2","q8",1,"Emotional"
23,"Bot2","q9",1,"Emotional"
23,"Bot2","q10",3,"Emotional"
23,"Bot2","q11",2,"Emotional"
23,"Bot2","q12",3,"Emotional"
25,"Bot3","q1",2,"Engagement"
25,"Bot3","q2",3,"Engagement"
25,"Bot3","q3",4,"Engagement"
25,"Bot3","q4",2,"Engagement"
25,"Bot3","q5",4,"Engagement"
25,"Bot3","q6",2,"Engagement"
26,"Bot3","q7",3,"Emotional"
26,"Bot3","q8",3,"Emotional"
26,"Bot3","q9",3,"Emotional"
26,"Bot3","q10",3,"Emotional"
26,"Bot3","q11",3,"Emotional"
26,"Bot3","q12",3,"Emotional"
28,"Bot1","q1",4,"Engagement"
28,"Bot1","q2",4,"Engagement"
28,"Bot1","q3",4,"Engagement"
28,"Bot1","q4",5,"Engagement"
28,"Bot1","q5",5,"Engagement"
28,"Bot1","q6",3,"Engagement"
29,"Bot1","q7",4,"Emotional"
29,"Bot1","q8",3,"Emotional"
29,"Bot1","q9",4,"Emotional"
29,"Bot1","q10",2,"Emotional"
29,"Bot1","q11",4,"Emotional"
29,"Bot1","q12",3,"Emotional"
31,"Bot2","q1",4,"Engagement"
31,"Bot2","q2",3,"Engagement"
31,"Bot2","q3",3,"Engagement"
31,"Bot2","q4",2,"Engagement"
31,"Bot2","q5",2,"Engagement"
31,"Bot2","q6",3,"Engagement"
32,"Bot2","q7",4,"Emotional"
32,"Bot2","q8",3,"Emotional"
32,"Bot2","q9",3,"Emotional"
32,"Bot2","q10",2,"Emotional"
32,"Bot2","q11",3,"Emotional"
32,"Bot2","q12",3,"Emotional"
33,"Bot1","q1",5,"Engagement"
33,"Bot1","q2",4,"Engagement"
33,"Bot1","q3",3,"Engagement"
33,"Bot1","q4",4,"Engagement"
33,"Bot1","q5",3,"Engagement"
33,"Bot1","q6",3,"Engagement"
35,"Bot1","q7",3,"Emotional"
35,"Bot1","q8",2,"Emotional"
35,"Bot1","q9",3,"Emotional"
35,"Bot1","q10",3,"Emotional"
35,"Bot1","q11",3,"Emotional"
35,"Bot1","q12",4,"Emotional"
37,"Bot3","q1",5,"Engagement"
37,"Bot3","q2",3,"Engagement"
37,"Bot3","q3",5,"Engagement"
37,"Bot3","q4",5,"Engagement"
37,"Bot3","q5",4,"Engagement"
37,"Bot3","q6",4,"Engagement"
38,"Bot3","q7",5,"Emotional"
38,"Bot3","q8",4,"Emotional"
38,"Bot3","q9",3,"Emotional"
38,"Bot3","q10",2,"Emotional"
38,"Bot3","q11",4,"Emotional"
38,"Bot3","q12",3,"Emotional"
40,"Bot2","q1",3,"Engagement"
40,"Bot2","q2",3,"Engagement"
40,"Bot2","q3",3,"Engagement"
40,"Bot2","q4",4,"Engagement"
40,"Bot2","q5",3,"Engagement"
40,"Bot2","q6",2,"Engagement"
41,"Bot2","q7",3,"Emotional"
41,"Bot2","q8",2,"Emotional"
