"bot","q13","q14"
"Bot1","x","x"
"Bot2","x","x"
"Bot3","x","x"
"Bot1","I really liked the conversation as a whole. This chatbot made me feel like I was actually talking to a person that was actually listening to what I was saying. I didn't feel like I was talking to AI.","No, nothing at all. It was a great experience."
"Bot2","This agent was very friendly, and attentive to what I was saying.","I felt too much like I was talking to a computer or recording. The pauses between the speech were too long on some parts. The speech was very unnatural."
"Bot1","I really enjoyed the interest shown into my life.","I was expecting a more mellow conversation but the pace was a little quick."
"Bot3","My favorite part of the conversation was that the agent was actually knowledgable about succulent plants. I was impressed.","It was difficult talking with this agent. Sounded like talking to a computer recording. At times I wasn't sure if the agent was still there or heard my question, because the responses took so long."
"Bot2","I enjoyed all the information I received.","The conversation felt robotic."
"Bot3","I really enjoyed the natural flow of conversation.","There was a large delay between me speaking and the assistant responding,  it made the interaction feel unnatural."
"Bot1","i liked how it responded with enthusiasm ","not seeing a face"
"Bot2","bot had a pateint tone good for asking questions","lack of direction "
"Bot1","Response to whether it was a terminator or not. ","no"
"Bot3","very detailed answers ","longer answers also felt for like talking with ai"
"Bot2","None, really. ","It paused a bit too much and suddenly ended the chat, I don't think it lasted 3 minutes."
"Bot3","It told me a joke.","The voice doesn't sound too natural."
"Bot1","I thought the AI did well to understand what I was saying.","no"
"Bot2","I asked a fairly complicated question at the end and was given a good answer","no but the voice did feel unnatural and robotic in its prosody"
"Bot3","I did not have a favorite part","I just thought the AI voice was very unnatural and was distracting"
"Bot1","them being joyful to talk to me","no"
"Bot1","The agent was upbeat and seemed engaged. In particular, I appreciated how - when it asked a question that didn't make sense for me - it accepted and welcomed my reframing of the question and my answer instead. Chatbots can often be very rigid when they expect certain answers, while this one remained supportive.","It talked a bit quickly? Like I was never quite sure when it was my moment to speak, somehow. Also I felt like I had to rush lest it jump in too."
"Bot1","She was so smart and insightful.  She actually understood everything I was saying perfectly and had a relatively thoughtful response.","Nothing.  This was awesome."
"Bot1","Talking about Costco I guess.","The conversation didn't seem too flow too naturally compared to other chatbot's I've used before."
"Bot1","the agent was very smart, which was surprising. her tone was easy and did not sound robotic. Definitely sounded like a computer, but not like a digital robot.","no, i am maybe unsettled at how she picked up my conversation and then would flow with it..."
"Bot1","The part where she asked me about my breakfast and what I like to do ","Not really"
"Bot1","When the agent told me that Thai dish was good and full of flavors. I felt more connected to the chatbot. ","The agent's voice was a little unfriendly and I felt rushed although she said to take your time. "
"Bot1","I loved her bubbly personality and upbeat voice. She sounded genuinely happy to be talking to me.","No."
"Bot1","I liked the agent's voice. The agent made it seem like I was talking to a friend. This agent has been the best one I have ever interacted with. ","No, nothing challengine or frustrating. "
"Bot1","I enjoyed talking about breakfast","Not really"
"Bot1","Being able to ask questions myself and have the AI Chatbot response","I felt some of the words/pauses were delayed. Felt almost like if your netflix is buffering."
"Bot2","my favorite part was talking about how I was doing","No"
"Bot2","The agent's questions were smooth and professional.","The pauses from the agent's speech were stilted and unusual, which was distracting and made it difficult to parse at times."
"Bot1","The agent's response to my morning walking routine.","No"
"Bot2","I think when it suddenly asked me at the beginning for my job and industry. That was odd.","The AI sounded way too robotic. Not fun to chat with."
"Bot2","She was incredibly knowledgeable and I only noticed one speaking hiccup when she said hubble space...telescope.","Not having live information lookup"
"Bot2","I do not think  I had a favorite part. It was definitely not as good as the first chat bot, not natural etc. But it was not terrible, the voice was good.","She ended the conversation very early and I restarted and it was the same conversation, but then she started to go in other directions at the end. "
"Bot2","The part where Jessica was concerned about my daily routine and how I use AI tools felt really engaging","NO"
"Bot1","The part when i thought it was gonna ask me easy questions lol","the questions a bit to broad need to be more specific"
"Bot2","I enjoyed talking about having fun and relaxing","Nothing I know of"
"Bot3","how enthusiastic Justin was","no"
"Bot2","I enjoyed the end where we started talking about quantum computing, I thought that was going to be really interesting.","Her voice was a lot more robotic than the previous A.I. It did not feel like talking to a person at all, although she did a great job understanding and responding to me."
"Bot2","The agent was more friendly and nice. Her voice was soothing and calm so I felt relaxed as well. ","The conversation was awkward and I didn't know what to say since the agent did not respond well to my answers. "
"Bot2","Chatbot understanding that green tea and ginger can help boost energy levels.","No"
"Bot1","Hope actively responded to what I said and offered encouragement when I said I was under the weather.","Nope, it was easy."
