date,values
3/3/2025 10:14:42,"{""bot"":""Bot1"",""rt"":12032,""response"":{""q1"":""3"",""q2"":""3"",""q3"":""3"",""q4"":""3"",""q5"":""3"",""q6"":""3""},""trial_type"":""survey-html-form"",""trial_index"":5,""plugin_version"":null,""time_elapsed"":213542}"
3/3/2025 10:14:45,"{""bot"":""Bot1"",""rt"":6127,""response"":{""q7"":""3"",""q8"":""3"",""q9"":""3"",""q10"":""3"",""q11"":""3"",""q12"":""3""},""trial_type"":""survey-html-form"",""trial_index"":6,""plugin_version"":null,""time_elapsed"":219674}"
3/3/2025 10:14:49,"{""bot"":""Bot1"",""rt"":3947,""response"":{""q13"":""x"",""q14"":""x""},""trial_type"":""survey-html-form"",""trial_index"":7,""plugin_version"":null,""time_elapsed"":223625}"
3/3/2025 10:18:21,"{""bot"":""Bot2"",""rt"":16449,""response"":{""q1"":""3"",""q2"":""3"",""q3"":""3"",""q4"":""3"",""q5"":""3"",""q6"":""3""},""trial_type"":""survey-html-form"",""trial_index"":9,""plugin_version"":null,""time_elapsed"":435355}"
3/3/2025 10:18:26,"{""bot"":""Bot2"",""rt"":5163,""response"":{""q7"":""3"",""q8"":""3"",""q9"":""3"",""q10"":""3"",""q11"":""3"",""q12"":""3""},""trial_type"":""survey-html-form"",""trial_index"":10,""plugin_version"":null,""time_elapsed"":440522}"
3/3/2025 10:18:29,"{""bot"":""Bot2"",""rt"":3530,""response"":{""q13"":""x"",""q14"":""x""},""trial_type"":""survey-html-form"",""trial_index"":11,""plugin_version"":null,""time_elapsed"":444056}"
3/3/2025 10:21:41,"{""bot"":""Bot3"",""rt"":10067,""response"":{""q1"":""3"",""q2"":""3"",""q3"":""3"",""q4"":""3"",""q5"":""3"",""q6"":""3""},""trial_type"":""survey-html-form"",""trial_index"":13,""plugin_version"":null,""time_elapsed"":635887}"
3/3/2025 10:21:49,"{""bot"":""Bot3"",""rt"":7814,""response"":{""q7"":""3"",""q8"":""3"",""q9"":""3"",""q10"":""3"",""q11"":""3"",""q12"":""3""},""trial_type"":""survey-html-form"",""trial_index"":14,""plugin_version"":null,""time_elapsed"":643705}"
3/3/2025 10:21:55,"{""bot"":""Bot3"",""rt"":5779,""response"":{""q13"":""x"",""q14"":""x""},""trial_type"":""survey-html-form"",""trial_index"":15,""plugin_version"":null,""time_elapsed"":649487}"
3/3/2025 11:45:35,"{""bot"":""Bot1"",""rt"":35994,""response"":{""q1"":""5"",""q2"":""5"",""q3"":""5"",""q4"":""4"",""q5"":""4"",""q6"":""4""},""trial_type"":""survey-html-form"",""trial_index"":5,""plugin_version"":null,""time_elapsed"":619935}"
3/3/2025 11:46:06,"{""bot"":""Bot1"",""rt"":30859,""response"":{""q7"":""4"",""q8"":""4"",""q9"":""4"",""q10"":""3"",""q11"":""4"",""q12"":""4""},""trial_type"":""survey-html-form"",""trial_index"":6,""plugin_version"":null,""time_elapsed"":650807}"
3/3/2025 11:47:48,"{""bot"":""Bot1"",""rt"":101873,""response"":{""q13"":""I really liked the conversation as a whole. This chatbot made me feel like I was actually talking to a person that was actually listening to what I was saying. I didn't feel like I was talking to AI."",""q14"":""No, nothing at all. It was a great experience.""},""trial_type"":""survey-html-form"",""trial_index"":7,""plugin_version"":null,""time_elapsed"":752687}"
3/3/2025 11:51:26,"{""bot"":""Bot2"",""rt"":30879,""response"":{""q1"":""4"",""q2"":""3"",""q3"":""4"",""q4"":""2"",""q5"":""2"",""q6"":""2""},""trial_type"":""survey-html-form"",""trial_index"":9,""plugin_version"":null,""time_elapsed"":970162}"
3/3/2025 11:51:47,"{""bot"":""Bot2"",""rt"":22290,""response"":{""q7"":""3"",""q8"":""2"",""q9"":""2"",""q10"":""2"",""q11"":""2"",""q12"":""2""},""trial_type"":""survey-html-form"",""trial_index"":10,""plugin_version"":null,""time_elapsed"":992460}"
3/3/2025 11:54:04,"{""bot"":""Bot2"",""rt"":136573,""response"":{""q13"":""This agent was very friendly, and attentive to what I was saying."",""q14"":""I felt too much like I was talking to a computer or recording. The pauses between the speech were too long on some parts. The speech was very unnatural.""},""trial_type"":""survey-html-form"",""trial_index"":11,""plugin_version"":null,""time_elapsed"":1129041}"
3/3/2025 11:58:07,"{""bot"":""Bot3"",""rt"":26666,""response"":{""q1"":""3"",""q2"":""3"",""q3"":""3"",""q4"":""2"",""q5"":""3"",""q6"":""2""},""trial_type"":""survey-html-form"",""trial_index"":13,""plugin_version"":null,""time_elapsed"":1371229}"
3/3/2025 11:58:28,"{""bot"":""Bot3"",""rt"":21997,""response"":{""q7"":""3"",""q8"":""2"",""q9"":""3"",""q10"":""2"",""q11"":""2"",""q12"":""2""},""trial_type"":""survey-html-form"",""trial_index"":14,""plugin_version"":null,""time_elapsed"":1393230}"
